Year,Topic,Count
1957,3,1
1957,5,1
1957,4,1
1957,9,2
1957,8,3
1966,15,1
1957,1,4
1953,4,1
1957,11,1
1957,12,1
1957,10,1
1957,15,3
1963,11,2
1964,9,1
1964,6,1
1963,15,1
1963,12,2
1960,3,1
1960,2,1
1964,1,1
1960,5,1
1960,7,3
1964,4,2
1952,15,1
1958,9,5
1958,2,5
1960,14,3
1954,5,1
1958,1,7
1960,13,2
1954,8,1
1958,4,4
1958,3,1
1960,15,1
1958,6,4
1960,10,1
1954,9,1
1958,5,2
1958,8,1
1958,7,1
1960,11,1
1951,10,1
1954,0,1
1954,2,3
1954,1,1
1954,4,1
1958,0,4
1959,14,1
1959,13,2
1959,12,3
1959,11,3
1951,14,1
1951,13,1
1951,12,1
1965,11,3
1965,10,3
1965,7,2
1965,8,1
1965,5,1
1965,15,1
1961,2,1
1954,15,2
1961,3,1
1965,4,1
1961,8,3
1965,1,1
1954,10,1
1954,11,1
1959,9,2
1959,1,6
1959,0,1
1955,7,1
1959,3,2
1959,2,1
1955,9,1
1959,5,4
1955,8,1
1959,4,2
1962,11,1
1959,7,1
1959,6,1
1951,0,1
1951,2,1
1955,1,1
1955,0,3
1955,2,1
1959,10,1
1962,8,2
1962,3,1
1962,2,2
1966,2,1
1962,4,1
1962,6,1
1956,11,5
1956,10,1
1956,13,1
1956,12,2
1956,15,3
1956,14,1
1964,11,1
1956,5,1
1956,8,2
1964,15,1
1956,7,1
1956,9,2
1964,14,1
1955,15,2
1956,1,1
1955,12,1
1955,11,1
1963,9,1
1961,15,1
1963,7,2
1961,11,1
1961,10,1
1961,13,1
1963,1,3
1963,0,2
1963,5,1
1963,6,1
1963,4,1
1958,12,2
1958,10,5
1950,15,1
1958,11,2
1950,13,1
1958,14,4
1958,15,4
